,ArticleViolated,Authority,Country,Date,Fine,Org_fined,Type,Country_code
85,Art. 6 GDPR,Czech Data Protection Auhtority (UOOU),CZECH REPUBLIC,2019-01-10,388,Employer,Insufficient legal basis for data processing,06
86,"Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR, Art. 6 (1) GDPR, Art. 13 GDPR",Austrian Data Protection Authority (dsb),AUSTRIA,2018-12-20,2200,Private person,Insufficient legal basis for data processing,01
87,"Art. 12 (4) GDPR, Art. 15 GDPR, Art. 18 (1) c) GDPR, Art. 13 GDPR",Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2018-12-18,3200,Unknown,Insufficient fulfilment of data subjects rights,11
88,Art. 28 (3) GDPR,Data Protection Authority of Hamburg,GERMANY,2018-12-17,5000,Kolibri Image Regina und Dirk Maass GbR,Insufficient data processing agreement,09
89,Art. 13 GDPR,Austrian Data Protection Authority (dsb),AUSTRIA,2018-12-09,4800,Betting place,Insufficient fulfilment of information obligations,01
90,Art. 32 GDPR,Data Protection Authority of Baden-Wuerttemberg,GERMANY,2018-11-21,20000,Knuddels.de,Insufficient technical and organisational measures to ensure information security,09
91,Art. 15 GDPR,Czech Data Protection Auhtority (UOOU),CZECH REPUBLIC,2018-10-25,388,Unknown,Insufficient fulfilment of data subjects rights,06
92,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Austrian Data Protection Authority (dsb),AUSTRIA,2018-09-27,300,Private car owner,Insufficient legal basis for data processing,01
93,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Portuguese Data Protection Authority (CNPD),PORTUGAL,2018-07-17,400000,Public Hospital,Insufficient technical and organisational measures to ensure information security,20
94,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Bulgarian Commission for Personal Data Protection (KZLD),BULGARIA,2018-04-12,500,Bank,Insufficient legal basis for data processing,03
95,Art. 15 GDPR,Cyprian Data Protection Commissioner,CYPRUS,"2,019",5000,State Hospital,Insufficient fulfilment of data subjects rights,05
96,Art. 6 GDPR,Cyprian Data Protection Commissioner,CYPRUS,"2,019",10000,Newspaper,Insufficient legal basis for data processing,05
97,Art. 5(1) e) GDPR,Danish Data Protection Authority (Datatilsynet),DENMARK,"2,019",160000,Taxa 4x35,Non-compliance with general data processing principles,07
98,Art. 32 GDPR,Data Protection Authority of Baden-Wuerttemberg,GERMANY,"2,019",80000,Unknown,Insufficient technical and organisational measures to ensure information security,09
99,Art. 5 (1) f) GDPR,Spanish Data Protection Authority (aepd),SPAIN,"2,019",60000,ENDESA (energy supplyer),Insufficient legal basis for data processing,23
100,"Art. 5 GDPR, Art. 6 GDPR",Cyprian Data Protection Commissioner,CYPRUS,"2,019",14000,Doctor,Insufficient legal basis for data processing,05
101,Art. 32 GDPR,Data Protection Authority of Baden-Wuerttemberg,GERMANY,"2,019",80000,Unknown,Insufficient technical and organisational measures to ensure information security,09
102,Art. 32 GDPR,Spanish Data Protection Authority (aepd),SPAIN,"2,019",12000,Madrileña Red de Gas,Insufficient technical and organisational measures to ensure information security,23
103,Unknown,Austrian Data Protection Authority (dsb),AUSTRIA,"2,018",1800,Kebab restaurant,Insufficient legal basis for data processing,01
104,Unknown,Austrian Data Protection Authority (dsb),AUSTRIA,"2,018",Unknown,Restaurant,Insufficient legal basis for data processing,01
105,"Art. 83 (4) a) GDPR, Art. 33 (1) GDPR, Art. 34 (1) GDPR",Data Protection Authority of Hamburg,GERMANY,"2,018",20000,Unknown,Insufficient fulfilment of data breach notification obligations,09
106,Unknown,Data Protection Authority of Hamburg,GERMANY,"2,018",500,Unknown,Unknown,09
107,Art. 5 (1) d) GDPR,Spanish Data Protection Authority (aepd),SPAIN,"2,018",5000,"VODAFONE ESPANA, S.A.U.",Non-compliance with general data processing principles,23
108,Art. 6 GDPR,Czech Data Protection Auhtority (UOOU),CZECH REPUBLIC,Unknown,3140,"UniCredit Bank Czech Republic and Slovakia, a.s.",Insufficient legal basis for data processing,06
109,Art. 6 GDPR,Data Protection Authority of Saarland,GERMANY,Unknown,118,Unknown,Insufficient legal basis for data processing,09
110,Art. 5 (1) f) GDPR,Spanish Data Protection Authority (aepd),SPAIN,Unknown,60000,"Debt collecting agancy (GESTIÓN DE COBROS, YO COBRO SL)",Insufficient legal basis for data processing,23
111,Art. 5 (1) d) GDPR,Spanish Data Protection Authority (aepd),SPAIN,Unknown,27000,"VODAFONE ESPANA, S.A.U.",Insufficient fulfilment of data subjects rights,23
112,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Spanish Data Protection Authority (aepd),SPAIN,Unknown,12000,Restaurant,Insufficient legal basis for data processing,23
113,Art. 15 GDPR,Slovak Data Protection Office,SLOVAKIA,Unknown,Unknown,Unknown,Insufficient fulfilment of data subjects rights,22
114,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Slovak Data Protection Office,SLOVAKIA,Unknown,Unknown,Unknown,Insufficient technical and organisational measures to ensure information security,22
115,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Slovak Data Protection Office,SLOVAKIA,Unknown,Unknown,Unknown,Insufficient technical and organisational measures to ensure information security,22
116,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Slovak Data Protection Office,SLOVAKIA,Unknown,Unknown,Unknown,Insufficient legal basis for data processing,22
117,Art. 32 GDPR,Slovak Data Protection Office,SLOVAKIA,Unknown,40000,Slovak Telekom,Insufficient technical and organisational measures to ensure information security,22
118,Art. 32 GDPR,Slovak Data Protection Office,SLOVAKIA,Unknown,50000,Social Insurance Agency,Insufficient technical and organisational measures to ensure information security,22
119,"Art. 6 GDPR, Art. 7 GDPR",Czech Data Protection Auhtority (UOOU),CZECH REPUBLIC,Unknown,588,Alza.cz a.s.,Insufficient legal basis for data processing,06
120,Art. 32 GDPR,Czech Data Protection Auhtority (UOOU),CZECH REPUBLIC,Unknown,980,Individual entrepreneur - no further details published,Insufficient technical and organisational measures to ensure information security,06
121,Art. 28 GDPR,Polish National Personal Data Protection Office (UODO),POLAND,2019-10-18,9380,Polish Mayor,Non-compliance with lawful basis for data processing,19
122,"Art. 12 GDPR, Art. 13 GDPR, Art. 5 (1) c) GDPR, Art. 6 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-10-17,2500,UTTIS INDUSTRIES,Information obligation non-compliance,21
123,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2019-10-16,60000,Xfera Moviles S.A.,Non-compliance with lawful basis for data processing,23
124,Art. 31 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-10-16,8000,Iberdrola Clientes,Failure to cooperate with supervisory authority,23
125,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-10-09,150000,Raiffeisen Bank SA,Failure to implement sufficient measures to ensure information security,21
126,"Art. 32 GDPR, Art. 33 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-10-09,20000,Vreau Credit SRL,Failure to implement sufficient measures to ensure information security,21
127,"Art. 5 (1) c) GDPR, Art. 25 GDPR",Hellenic Data Protection Authority (HDPA),GREECE,2019-10-07,200000,Telecommunication Service Provider,Failure to comply with data processing principles,10
128,"Art. 21 (3) GDPR, Art. 25 GDPR",Hellenic Data Protection Authority (HDPA),GREECE,2019-10-07,200000,Telecommunication Service Provider,Failure to comply with data processing principles,10
129,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2019-10-01,30000,Vueling Airlines,Non-compliance with lawful basis for data processing,23
130,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-09-26,9000,Inteligo Media SA,Non-compliance with lawful basis for data processing,21
131,"Art. 15 GDPR, Art. 17 GDPR, Art. 21 GDPR",Data Protection Authority of Berlin,GERMANY,2019-09-19,195407,Delivery Hero,Non-compliance with subjects' rights protection safeguards,09
132,Art. 5 (1) c) GDPR,Belgian Data Protection Authority (APD),BELGIUM,2019-09-19,10000,Merchant,Failure to comply with data processing principles,02
133,Art. 32 GDPR,Polish National Personal Data Protection Office (UODO),POLAND,2019-09-10,644780,Morele.net,Failure to implement sufficient measures to ensure information security,19
134,"Art. 13 GDPR, Art. 37 GDPR",Austrian Data Protection Authority (DSB),AUSTRIA,2019-08-30,50000,Medical Company,Information obligation non-compliance,01
135,Art. 32 GDPR,Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-08-28,2600000,National Revenue Agency,Failure to implement sufficient measures to ensure information security,03
136,Art. 32 GDPR,Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-08-28,511000,DSK Bank,Failure to implement sufficient measures to ensure information security,03
137,Art. 17 GDPR,Data State Inspectorate (DSI),LATVIA,2019-08-26,7000,Online services provider,Non-compliance with subjects' rights protection safeguards,14
138,"Art. 5 (1) c) GDPR, Art. 9 GDPR, Art. 35 GDPR, Art. 36 GDPR",Data Protection Authority of Sweden,SWEDEN,2019-08-20,18630,Skellefteå school,Non-compliance with lawful basis for data processing,24
139,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-08-16,60000,Avon Cosmetics,Non-compliance with lawful basis for data processing,23
140,Art. 6 GDPR,Austrian Data Protection Authority (DSB),AUSTRIA,2019-07-31,11000,Private individual (football coach),Non-compliance with lawful basis for data processing,01
141,"Art. 5 (1) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 13 (1) c) GDPR, Art. 14 (1) c) GDPR",Hellenic Data Protection Authority (HDPA),GREECE,2019-07-30,150000,PWC Business Solutions,Non-compliance with lawful basis for data processing,10
142,Art. 32 GDPR,French Data Protection Authority (CNIL),FRANCE,2019-07-25,180000,Active Assurances,Failure to implement sufficient measures to ensure information security,08
143,Art. 32 GDPR,Information Commissioner (ICO),UNITED KINGDOM,2019-07-09,0,"Marriott International, Inc",Failure to implement sufficient measures to ensure information security,25
144,Art. 32 GDPR,Information Commissioner (ICO),UNITED KINGDOM,2019-07-08,0,British Airways,Failure to implement sufficient measures to ensure information security,25
145,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-07-05,3000,Legal Company & Tax Hub SRL,Failure to implement sufficient measures to ensure information security,21
146,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-07-02,15000,World Trade Center Bucharest SA,Failure to implement sufficient measures to ensure information security,21
147,"Art. 25 (1) GDPR, Art. 5 (1) c) GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-06-27,130000,Unicredit Bank SA,Failure to implement sufficient measures to ensure information security,21
148,Art. 33 GDPR,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-06-25,15150,Budapest Police Command,Information obligation non-compliance,11
149,Art. 32 GDPR,Dutch Supervisory Authority for Data Protection (AP),NETHERLANDS,2019-06-18,460000,Hague Hospital,Failure to implement sufficient measures to ensure information security,17
150,"Art. 5 (1) c) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 32 GDPR",French Data Protection Authority (CNIL),FRANCE,2019-06-13,20000,Uniontrad Company,Non-compliance with lawful basis for data processing,08
151,"Art. 5 (1) a), Art. 7 (3) GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2019-06-11,250000,Professional Football League (LaLiga),Information obligation non-compliance,23
152,"Art. 5 (1) e) GDPR, Art. 5 (2) GDPR",Danish Data Protection Authority (Datatilsynet),DENMARK,2019-06-03,200850,IDdesign A/S,Failure to comply with data processing principles,07
153,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Belgian Data Protection Authority (APD),BELGIUM,2019-05-28,2000,A mayor,Several,02
154,Art. 32 GDPR,French Data Protection Authority (CNIL),FRANCE,2019-05-28,400000,SERGIC,Failure to implement sufficient measures to ensure information security,08
155,"Art. 6 GDPR, Art. 5 (1) b) GDPR, Art. 13 GDPR",Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-05-23,92146,Organizer of SZIGET festival and VOLT festival,Non-compliance with lawful basis for data processing and information obligation non-compliance,11
156,"Art. 5 GDPR, Art. 32 GDPR, Art. 33 GDPR",Lithuanian Data Protection Authority (VDAI),LITHUANIA,2019-05-16,61500,UAB MisterTango,Failure to implement sufficient measures to ensure information security and information obligation non-compliance,15
157,"Art. 5 (1) a) GDPR, Art. 5 (1) b) GDPR, Art. 32 (1) GDPR",Czech Data Protection Authority (UOOU),CZECH REPUBLIC,2019-05-13,3105,Not known,Not known,06
